,team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
240,MIN,LB,74.5,240.2,121.74,32.2,4.62,1.62,6.95,4.17,35.10
241,MIN,QB,74.1,220.3,114.77,32.7,4.67,1.64,6.98,4.14,32.36
242,MIN,S,74.1,206.2,127.38,32.4,4.46,1.51,6.63,4.12,35.22
243,MIN,T,78.7,303.6,107.00,34.4,4.92,1.78,7.28,4.61,27.67
244,MIN,TE,76.3,250.8,111.56,32.3,4.73,1.67,7.28,4.37,33.54
245,MIN,WR,73.0,202.7,123.15,32.2,4.50,1.59,7.12,4.29,35.35
246,NE,CB,72.1,196.4,125.10,31.4,4.47,1.59,6.79,4.11,36.85
247,NE,DI,74.8,308.8,102.04,33.3,5.03,1.69,7.90,4.59,29.33
248,NE,ED,76.3,265.0,117.68,33.7,4.71,1.66,7.02,4.34,34.03
249,NE,G,76.8,305.9,116.35,32.7,5.00,1.72,7.45,4.51,28.18
250,NE,HB,70.6,215.7,117.69,31.1,4.56,1.61,6.87,4.23,35.51
251,NE,LB,74.3,256.3,117.00,33.1,4.62,1.65,7.55,4.64,32.00
252,NE,QB,75.5,228.3,111.65,32.5,4.92,1.73,7.07,4.38,29.94
253,NE,S,72.5,210.7,124.31,32.5,4.54,1.61,6.93,4.24,35.86
254,NE,T,77.5,313.3,109.39,34.2,5.02,1.78,7.60,4.52,31.70
255,NE,TE,75.5,255.1,119.77,32.8,4.72,NA,7.07,4.19,32.17
256,NE,WR,74.5,207.9,124.25,32.8,4.40,1.46,7.22,4.36,36.86
257,NO,C,75.9,303.0,107.00,33.0,4.89,1.72,8.28,4.62,31.00
258,NO,CB,72.4,198.4,126.79,31.4,4.46,1.53,6.89,4.24,37.47
259,NO,DI,75.2,309.1,112.24,33.5,5.01,1.74,7.48,4.58,30.93
260,NO,ED,76.6,267.8,120.15,34.0,4.69,1.66,7.08,4.35,33.60
261,NO,G,77.0,310.3,108.57,33.8,5.14,1.79,7.97,4.63,31.89
262,NO,HB,70.0,214.7,131.00,31.8,4.54,1.59,7.10,4.35,39.50
263,NO,LB,74.9,242.0,120.12,33.0,4.55,1.59,7.00,4.23,35.44
264,NO,S,72.0,206.8,124.17,32.5,4.58,1.60,6.81,4.12,37.83
265,NO,T,78.1,315.6,111.33,34.0,4.83,1.66,7.37,4.65,30.17
266,NO,TE,77.0,255.0,114.00,32.6,4.80,1.65,6.78,4.27,31.00
267,NO,WR,72.3,194.8,124.00,31.7,4.42,1.52,6.82,4.06,34.12
268,NYG,C,75.2,299.4,105.08,33.0,5.22,1.81,7.93,4.60,27.34
269,NYG,CB,72.0,194.2,127.68,30.9,4.40,1.57,6.98,4.14,37.93
270,NYG,DI,75.2,319.5,106.78,33.5,5.07,1.78,7.55,4.58,28.56
271,NYG,ED,75.7,253.7,122.99,33.7,4.64,1.61,7.22,4.36,34.67
272,NYG,G,75.7,314.0,103.80,32.5,5.15,1.77,7.59,4.64,26.98
273,NYG,HB,71.3,224.7,132.00,31.0,4.39,1.55,7.09,4.20,41.00
274,NYG,QB,77.1,221.0,120.00,32.5,4.81,1.62,7.00,4.41,33.50
275,NYG,S,72.6,213.1,120.24,31.0,4.61,1.61,7.33,4.33,34.74
276,NYG,T,78.3,325.6,106.35,35.1,5.24,1.85,7.67,4.71,29.06
277,NYG,TE,75.0,234.0,125.00,33.5,4.42,1.56,6.92,4.23,36.00
278,NYG,WR,71.0,191.7,125.65,31.4,4.45,1.54,6.92,4.20,37.73
279,NYJ,C,78.0,313.0,NA,32.8,NA,NA,NA,NA,NA
280,NYJ,CB,73.0,195.1,122.00,32.5,4.40,1.52,6.92,4.28,36.27
281,NYJ,DI,75.6,306.8,109.81,34.1,4.95,1.77,7.48,4.59,30.07
282,NYJ,ED,75.7,260.6,117.99,33.6,4.73,1.66,7.32,4.48,33.56
283,NYJ,G,75.6,320.0,107.00,32.0,5.22,1.78,7.55,4.77,31.50
284,NYJ,HB,71.3,217.0,126.00,31.3,4.39,1.52,NA,NA,40.00
285,NYJ,LB,74.5,240.9,128.12,33.3,4.52,1.58,7.14,4.23,34.81
286,NYJ,QB,74.7,217.5,110.83,31.1,4.77,1.65,6.96,4.40,28.65
287,NYJ,S,71.7,209.5,118.25,32.2,4.55,1.59,6.99,4.20,32.93
288,NYJ,T,77.6,332.5,106.56,34.1,5.11,1.77,7.60,4.59,29.92
289,NYJ,TE,77.4,259.4,118.00,33.5,4.74,1.64,7.42,4.30,33.00
290,NYJ,WR,72.4,194.6,125.00,32.0,4.39,1.54,6.76,4.28,37.15
