,team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
104,DEN,C,75.1,315.7,111.00,33.6,5.14,1.78,7.33,4.47,32.00
105,DEN,CB,72.6,198.9,126.23,31.9,4.43,1.54,6.78,4.13,37.93
106,DEN,DI,75.7,295.0,108.25,33.5,4.98,1.73,7.68,4.63,30.51
107,DEN,ED,75.2,253.9,122.59,33.5,4.56,1.62,7.14,4.28,35.74
108,DEN,G,77.4,311.0,104.24,34.4,5.16,1.84,7.93,4.54,27.47
109,DEN,HB,70.0,213.5,120.05,31.3,4.55,1.60,6.92,4.21,34.82
110,DEN,LB,74.6,239.4,117.03,32.7,4.64,1.63,6.99,4.29,36.11
111,DEN,QB,77.8,238.3,115.33,33.6,4.80,1.65,7.09,4.20,33.77
112,DEN,S,72.7,202.0,119.08,31.1,4.59,1.63,6.83,3.92,36.85
113,DEN,T,77.3,302.2,108.25,33.6,5.10,1.76,7.38,4.56,28.37
114,DEN,TE,76.3,248.6,124.15,33.4,4.62,1.59,6.89,4.27,36.97
115,DEN,WR,73.0,201.3,124.42,32.1,4.45,1.56,6.88,4.42,36.56
116,DET,C,77.1,312.0,108.28,33.1,5.09,1.78,7.94,4.56,30.98
117,DET,CB,72.7,200.4,128.67,32.4,4.48,1.55,6.98,4.21,38.26
118,DET,DI,75.3,302.4,108.51,34.1,4.99,1.75,7.56,4.67,29.03
119,DET,ED,77.3,263.9,118.63,33.8,4.75,1.61,6.73,4.15,36.41
120,DET,G,75.8,318.6,100.80,33.5,5.33,1.85,7.91,4.91,27.02
121,DET,HB,69.7,209.5,124.59,31.0,4.48,1.58,6.90,4.21,37.23
122,DET,LB,74.9,244.8,121.16,32.1,4.70,1.61,7.10,4.28,35.89
123,DET,QB,75.0,217.0,NA,33.0,NA,NA,NA,NA,NA
124,DET,S,72.6,200.2,122.75,31.9,4.51,1.56,6.95,4.31,35.42
125,DET,T,77.8,319.4,103.42,33.4,5.15,1.80,7.75,4.72,27.90
126,DET,TE,76.2,249.2,121.89,32.4,4.64,1.62,7.17,4.30,34.88
127,DET,WR,72.6,186.1,121.88,31.4,4.50,1.59,6.91,4.24,35.19
128,GB,C,77.1,310.0,NA,32.0,NA,NA,NA,NA,NA
129,GB,CB,71.8,195.7,124.32,31.2,4.44,1.55,6.82,4.09,37.52
130,GB,DI,75.0,302.2,108.50,32.6,4.91,1.69,7.52,4.59,29.35
131,GB,ED,75.9,269.2,121.57,33.6,4.59,1.60,7.27,4.43,37.55
132,GB,G,76.5,314.2,109.38,33.4,5.16,1.78,7.69,4.69,30.09
133,GB,HB,71.8,232.3,123.02,31.4,4.52,1.62,7.13,4.18,37.25
134,GB,LB,75.6,238.4,124.87,32.9,4.54,1.59,6.87,4.27,34.39
135,GB,QB,75.8,224.0,118.00,32.6,4.74,1.65,7.21,4.52,35.50
136,GB,S,71.7,206.2,128.24,31.4,4.38,1.57,7.04,4.24,38.75
137,GB,T,77.5,312.0,105.10,34.8,5.07,1.82,7.55,4.54,29.57
138,GB,TE,76.5,251.6,118.94,32.4,4.71,1.63,7.14,4.37,33.92
139,GB,WR,72.3,201.9,124.16,31.5,4.46,1.57,6.97,4.28,35.93
140,HOU,C,75.6,299.9,99.34,32.9,5.22,1.80,7.65,4.77,29.87
141,HOU,CB,71.3,189.1,123.98,30.9,4.50,1.59,6.78,3.97,39.38
142,HOU,DI,76.1,298.0,111.57,33.1,4.96,1.74,7.43,4.49,32.33
143,HOU,ED,76.2,264.1,119.63,34.0,4.62,1.61,7.21,4.42,34.36
144,HOU,G,76.5,323.4,103.99,33.8,5.10,1.76,7.73,4.76,27.40
145,HOU,HB,72.3,233.0,120.00,31.4,4.46,1.63,7.21,4.29,33.00
146,HOU,LB,74.5,244.4,125.38,33.5,4.60,1.60,7.13,4.28,37.00
147,HOU,QB,74.8,216.8,116.14,32.6,4.71,1.64,6.95,4.34,32.34
148,HOU,S,72.1,199.6,123.55,31.3,4.49,1.56,6.86,4.16,37.32
149,HOU,T,76.8,317.3,104.70,33.9,5.05,1.81,8.34,4.87,29.33
150,HOU,TE,76.7,256.2,119.64,33.1,4.72,1.64,7.19,4.29,34.11
151,HOU,WR,72.7,198.5,122.15,31.8,4.44,1.56,6.93,4.28,36.32
152,IND,C,76.0,311.0,103.00,33.6,5.03,1.76,7.58,4.59,30.00
153,IND,CB,73.0,199.4,125.66,32.2,4.48,1.56,6.98,4.21,37.07
154,IND,DI,75.4,294.0,111.51,32.5,5.02,1.77,7.46,4.43,30.26
155,IND,ED,75.5,263.0,119.77,33.7,4.67,1.64,7.13,4.32,34.54
156,IND,G,76.9,320.3,103.83,33.9,5.26,1.83,7.65,4.63,26.35
157,IND,HB,70.3,226.0,123.00,31.1,4.39,1.54,7.01,4.24,36.00
158,IND,LB,73.8,235.8,122.00,34.4,4.66,1.66,7.25,4.26,36.36
159,IND,QB,76.0,238.3,126.15,32.7,4.52,1.60,6.80,4.28,37.94
160,IND,S,72.5,202.8,130.00,31.8,4.34,1.46,6.85,4.21,37.00
161,IND,T,77.8,312.6,110.83,33.6,5.17,1.78,7.70,4.67,29.98
162,IND,TE,77.4,255.5,117.77,33.5,4.64,1.61,7.03,4.33,35.63
163,IND,WR,72.3,200.8,126.45,31.8,4.40,1.53,6.92,4.18,38.13
164,JAX,C,76.8,308.7,101.13,33.7,5.27,1.82,7.76,4.85,25.08
165,JAX,CB,72.7,203.3,129.03,32.4,4.40,1.53,6.95,4.25,38.43
166,JAX,DI,77.0,291.0,119.00,32.8,4.98,1.68,7.12,4.48,35.00
167,JAX,ED,75.6,262.7,118.23,34.0,4.61,1.59,7.16,4.36,33.52
168,JAX,G,75.1,311.1,104.22,32.9,5.39,1.79,7.91,4.94,28.20
