"","team","GM","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"29","BAL","Eric DeCosta","T",79.3,364.7,97.46,34.94,5.49,1.97,8.23,4.97,29.21,77.6,80,317,384,94,106,34.5,35.1,5.23,5.6,1.8,2.04,7.65,8.47,4.75,5.06,28.5,29.5,2
"30","BAL","Eric DeCosta","TE",76.9,248.1,120.77,33.11,4.71,1.68,7.11,4.43,36.14,74.8,78.5,245,252,117,124,31.9,34.5,4.62,4.8,1.66,1.7,6.96,7.33,4.3,4.57,35.5,37.5,3
"31","BAL","Eric DeCosta","WR",71,187.6,125.59,31.1,4.41,1.54,6.97,4.26,36.44,69,75.8,166,220,112,140,29.5,33.5,4.39,4.48,1.53,1.56,6.77,7.27,4.07,4.4,33,43.5,7
"32","BUF","Brandon Beane","CB",72.2,194.2,119.84,31.35,4.47,1.54,6.98,4.27,35.13,71.1,73.5,187,208,118,124,30.4,32.2,4.39,4.59,1.46,1.62,6.9,7.1,4.18,4.34,32,40.5,9
"33","BUF","Brandon Beane","DI",74.2,291.9,115.85,32.27,4.85,1.67,7.18,4.29,35.02,73.9,75.2,287,307,103,120,31.8,33.9,4.73,5.21,1.63,1.79,7.15,7.28,4.22,4.5,32,36,2
"34","BUF","Brandon Beane","ED",77.2,270.2,117.33,34.13,4.78,1.65,7.33,4.4,31.93,75.1,78.5,253,275,112,122,32.9,34.8,4.64,5.04,1.57,1.79,6.97,7.5,4.25,4.56,30,34,4
"35","BUF","Brandon Beane","G",76.3,325.5,104.27,33.77,5.25,1.83,8.05,4.83,26.82,75.8,77,305,330,101,114,31.9,34,5.21,5.31,1.78,1.85,7.45,8.27,4.7,4.87,23.5,29.5,5
"36","BUF","Brandon Beane","HB",69.4,207.4,120.69,30.27,4.57,1.61,7.32,4.39,33.66,67.5,71,199,223,117,124,28.9,31.2,4.42,4.66,1.54,1.67,7.32,7.32,4.37,4.4,33,35,3
"37","BUF","Brandon Beane","LB",74.3,237.3,118.57,32.83,4.56,1.59,7.19,4.41,33.52,72.1,76.5,223,253,106,126,30.2,34.5,4.49,4.67,1.54,1.65,6.93,7.64,4.23,4.75,28,36,7
"38","BUF","Brandon Beane","QB",76.2,233.6,117.03,32.86,4.79,1.63,6.97,4.4,32.8,73.9,76.9,219,237,110,119,31.1,33.2,4.75,5.01,1.59,1.81,6.9,7.27,4.31,4.51,30,33.5,3
"39","BUF","Brandon Beane","S",70.1,191,121,29.62,4.69,1.63,NA,NA,33,70.1,70.1,191,191,121,121,29.6,29.6,4.69,4.69,1.63,1.63,Inf,-Inf,Inf,-Inf,33,33,1
"40","BUF","Brandon Beane","T",78.3,314.5,110.11,34.34,5.07,1.77,7.3,4.64,28.42,75.9,80.2,311,320,104,117,32.9,35.1,4.88,5.41,1.71,1.86,7.03,7.75,4.44,4.78,26,32,4
"41","BUF","Brandon Beane","TE",75.9,248.7,120.66,32.89,4.64,1.59,7.13,4.28,34.02,75.5,76.8,246,254,115,122,32.6,33.5,4.59,4.83,1.57,1.68,7.12,7.17,4.27,4.31,32,34.5,3
"42","BUF","Brandon Beane","WR",73.4,203.7,126.21,31.84,4.49,1.55,6.96,4.22,35.44,69.1,76,180,229,113,133,28.9,33.8,4.43,4.61,1.49,1.6,6.46,7.35,4.01,4.59,33,36.5,8
"43","CHI","Ryan Poles","C",74,299,109,32.25,4.95,1.7,7.82,4.62,29.5,74,74,299,299,109,109,32.2,32.2,4.95,4.95,1.7,1.7,7.82,7.82,4.62,4.62,29.5,29.5,1
"44","CHI","Ryan Poles","CB",71.8,196.9,125.73,31.89,4.48,1.53,6.88,4.18,38.35,71.5,72,194,204,120,128,31,32.9,4.41,4.52,1.5,1.56,6.67,7.09,3.96,4.41,34,39.5,3
"45","CHI","Ryan Poles","DI",76.6,301.8,112.58,33.2,4.9,1.77,7.52,4.66,30.92,72,78,291,310,110,116,32.2,34.4,4.88,5.01,1.71,1.81,7.45,7.99,4.58,4.7,30.5,32.5,3
"46","CHI","Ryan Poles","ED",76.9,253,121,33.25,4.72,1.61,7.19,4.19,41,76.9,76.9,253,253,121,121,33.2,33.2,4.72,4.72,1.61,1.61,7.19,7.19,4.19,4.19,41,41,1
"47","CHI","Ryan Poles","G",75.4,311,108,33.62,5.13,1.79,7.84,4.9,30,75.4,75.4,311,311,108,108,33.6,33.6,5.13,5.13,1.79,1.79,7.84,7.84,4.9,4.9,30,30,1
"48","CHI","Ryan Poles","HB",71.6,215.3,119.99,31.35,4.54,1.52,7.16,4.53,31.07,70.8,72,206,219,115,122,29.8,32,4.43,4.58,1.52,1.53,7.16,7.16,4.53,4.53,30,31.5,2
"49","CHI","Ryan Poles","LB",73,246,115,31.62,4.64,1.57,7.28,4.37,33,73,73,246,246,115,115,31.6,31.6,4.64,4.64,1.57,1.57,7.28,7.28,4.37,4.37,33,33,1
"50","CHI","Ryan Poles","S",73.2,199.1,124,31.67,4.49,1.57,6.92,4.2,34.87,72,73.4,198,202,124,124,30.5,32,4.49,4.49,1.57,1.59,6.91,7.01,4.19,4.38,34.5,39.5,3
"51","CHI","Ryan Poles","T",77,327.4,112.48,33.97,5,1.78,7.5,4.75,27.86,76.9,77.2,308,333,107,114,33.8,35.4,4.96,5.01,1.65,1.81,7.4,7.59,4.65,4.84,22.5,29,3
"52","CHI","Ryan Poles","WR",71.1,194.3,125.32,30.88,4.36,1.48,7.2,4.42,35.34,70,71.8,177,204,121,133,30.9,30.9,4.31,4.44,1.46,1.51,6.99,7.32,4.25,4.51,33,39.5,2
"53","CIN","Duke Tobin","C",75.6,306.4,109,32.14,5.18,1.85,8.26,4.66,29,75.1,75.8,305,310,109,109,32,32.5,5.18,5.18,1.85,1.85,8.26,8.26,4.66,4.66,29,29,2
"54","CIN","Duke Tobin","CB",72,192.3,121.4,31.18,4.44,1.55,6.97,4.23,34.75,69.9,73.6,178,209,114,131,30.2,32.6,4.26,4.63,1.47,1.64,6.57,7.31,4.06,4.4,29.5,39.5,14
"55","CIN","Duke Tobin","DI",75.6,299.1,107.33,33.57,4.96,1.74,7.66,4.58,29.75,72.6,77,258,350,100,118,33,34.5,4.53,5.4,1.59,1.9,7.22,8.19,4.29,4.97,27.5,32,8
"56","CIN","Duke Tobin","ED",76.5,269.8,117.93,33.46,4.75,1.66,7.15,4.42,34.48,73.6,80.1,255,307,107,131,31,34.6,4.53,4.99,1.57,1.89,6.84,7.46,4.19,4.57,25.5,41.5,12
"57","CIN","Duke Tobin","G",76.5,310.4,103.9,33.31,5.27,1.82,7.82,4.7,28.8,75,78.1,298,320,96,116,32.2,34.2,5.07,5.46,1.76,1.89,7.52,8.31,4.51,4.95,25,32.5,10
"58","CIN","Duke Tobin","HB",70.6,215.4,119.55,30.42,4.55,1.57,7.12,4.3,34.11,68.1,72.8,202,233,113,132,28,32.6,4.43,4.73,1.51,1.65,6.85,7.64,4.04,4.59,29,40.5,11
"59","CIN","Duke Tobin","LB",73.7,236.9,119.06,32.03,4.62,1.63,7.02,4.3,34.29,71.4,74.9,224,248,109,128,31,33.4,4.4,4.93,1.56,1.71,6.73,7.32,4,4.49,28,42,12
"60","CIN","Duke Tobin","QB",75.2,218.6,107.46,31.32,4.82,1.75,7.04,4.26,29.63,73,76,213,221,99,116,30.9,32.9,4.73,4.94,1.69,1.77,6.93,7.2,4.15,4.34,28,31.5,5
"61","CIN","Duke Tobin","S",72.6,205.9,120.89,31.76,4.48,1.56,6.92,4.21,35.34,70,76,196,225,117,133,29.8,34.5,4.36,4.61,1.5,1.61,6.64,7.17,4.03,4.44,33.5,41,9
"62","CIN","Duke Tobin","T",77.1,306.5,104.24,34.08,5.12,1.79,7.79,4.66,29.84,76.4,79.6,302,317,100,115,32.5,35.9,5.01,5.29,1.77,1.83,7.25,8.08,4.33,4.81,28,34,7
"63","CIN","Duke Tobin","TE",76.9,251.7,117.35,33.22,4.7,1.64,7.07,4.37,33.73,74.5,77.8,246,262,113,120,32.5,34.8,4.62,4.76,1.58,1.66,6.92,7.36,4.27,4.57,30.5,35.5,6
"64","CIN","Duke Tobin","WR",73.5,202.3,126.48,32.42,4.44,1.57,6.93,4.21,35.82,68.5,76.9,175,228,107,133,30,34.4,4.22,4.68,1.49,1.66,6.64,7.37,3.98,4.58,29.5,41,16
"65","CLE","Andrew Berry","C",74.3,303,104.83,32.06,5.12,1.78,7.6,4.52,29.78,72.9,77.5,302,306,103,108,31.6,32.9,5.1,5.14,1.74,1.83,7.52,7.64,4.49,4.53,29,30.5,3
"66","CLE","Andrew Berry","CB",72.5,194.7,123.38,31.92,4.44,1.52,6.92,4.2,36.67,71,73.6,191,201,123,124,31.1,33.5,4.38,4.53,1.48,1.57,6.89,6.94,4.06,4.28,32,40,3
