"","team","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"29","BAL","G",76.7,322.2,101.44,33.77,5.23,1.83,7.89,4.83,27.93,74.8,78,296,354,92,110,31.1,35.9,4.85,5.46,1.77,1.92,7.55,8.25,4.47,5.17,24,32,13
"30","BAL","HB",70.8,213.5,122.61,31,4.5,1.58,6.98,4.26,36.65,68,72.8,197,229,118,130,29.4,32,4.4,4.58,1.5,1.6,6.79,7.07,4.06,4.28,33,41.5,8
"31","BAL","LB",73.3,235.7,119.65,32.54,4.57,1.58,7.16,4.35,35.46,72.2,74.6,229,247,116,125,31.6,33.4,4.43,4.66,1.55,1.64,6.83,7.38,4.25,4.48,32.5,40.5,6
"32","BAL","QB",73.6,214.8,114.33,32.53,4.67,1.63,6.97,4.15,33.09,72.1,74,202,218,100,126,31,33.1,4.47,5,1.56,1.72,6.78,7.09,4.09,4.25,28,37.5,4
"33","BAL","S",72.7,210,123.39,32.28,4.51,1.58,7.06,4.33,36.34,69.9,76.1,196,220,116,131,29.2,33.5,4.42,4.62,1.53,1.64,6.85,7.35,4.07,4.56,31.5,38,8
"34","BAL","T",78.5,326.8,97.49,35.11,5.37,1.87,7.95,4.93,27.19,77.6,80,302,384,82,111,34,35.6,5.2,5.85,1.79,2.04,7.41,8.47,4.59,5.38,19.5,29.5,7
"35","BAL","TE",76.8,251.9,118.46,33.1,4.74,1.67,7.23,4.38,33.38,74.8,78.5,238,268,112,125,31.9,34.5,4.46,5.04,1.54,1.81,6.96,7.42,4.23,4.57,30.5,37.5,9
"36","BAL","WR",72.1,196.3,124.79,31.67,4.42,1.55,6.95,4.24,36.55,69,76.9,166,220,112,140,29.5,34.8,4.26,4.62,1.51,1.62,6.72,7.27,4.01,4.41,33,43.5,17
"37","BUF","CB",71.9,192.3,122.22,31.13,4.43,1.54,6.91,4.2,36.39,70,73.5,180,208,114,129,29.9,32.2,4.37,4.59,1.46,1.64,6.61,7.23,3.94,4.56,32,41.5,15
"38","BUF","DI",74.8,306.5,109.43,33.03,4.93,1.71,7.59,4.51,30.48,73.9,76,287,394,99,120,31.8,34.5,4.73,5.53,1.63,1.84,7.15,8.44,4.22,5.08,27,36,5
"39","BUF","ED",76.2,268.3,118.02,33.69,4.75,1.64,7.26,4.34,32.38,73,78.5,241,275,112,122,32.8,34.8,4.64,5.04,1.57,1.79,6.97,7.5,4.21,4.56,30,34.5,6
"40","BUF","G",76.2,321.3,102.79,33.65,5.28,1.83,7.96,4.84,26.22,74.5,78.4,303,330,91,114,31.9,34.6,5.21,5.36,1.78,1.85,7.45,8.27,4.7,4.87,23.5,29.5,8
"41","BUF","HB",70,211.3,119.47,30.66,4.56,1.62,7.17,4.37,33.48,67.5,73.1,199,230,117,124,28.9,33,4.42,4.66,1.54,1.71,6.97,7.32,4.29,4.46,32.5,35,6
"42","BUF","LB",74.2,241.2,117.27,32.68,4.65,1.63,7.17,4.29,33.2,72.1,76.5,223,253,106,126,30.2,34.5,4.49,4.86,1.54,1.72,6.89,7.64,4.18,4.75,28,38.5,15
"43","BUF","QB",76.4,236.5,117.39,32.98,4.74,1.64,7.01,4.33,33.49,73.9,77,219,253,110,119,31.1,33.8,4.65,5.01,1.59,1.81,6.9,7.27,4.21,4.51,30,36,5
"44","BUF","S",71.4,207.1,123.3,31.83,4.55,1.62,6.91,4.15,35.68,70.1,72.4,191,223,115,127,29.6,33.5,4.48,4.69,1.58,1.67,6.72,7.17,4,4.72,33,37.5,5
"45","BUF","T",78.2,324.4,103.2,35.04,5.21,1.82,7.75,4.8,27.75,75.9,80.2,311,345,93,117,32.9,35.8,4.88,5.46,1.71,1.91,7.03,8.15,4.44,5,23.5,32,9
"46","BUF","TE",75.8,248.7,119.11,32.64,4.68,1.62,7.18,4.35,33.79,74.8,76.8,244,254,110,125,29.8,33.6,4.5,4.93,1.56,1.78,7.08,7.4,4.27,4.51,30.5,37.5,5
"47","BUF","WR",72.5,202.1,124.85,31.83,4.44,1.56,6.94,4.27,35.15,68.9,76,180,229,113,133,28.9,33.8,4.27,4.61,1.49,1.63,6.46,7.35,4.01,4.59,33,42,14
"48","CAR","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,1
"49","CAR","CB",71.8,196.4,125,31.73,4.47,1.56,6.98,4.29,37.25,69.9,74.1,178,211,116,133,29.5,33.4,4.23,4.64,1.49,1.65,6.85,7.44,4.15,4.58,33,41.5,14
"50","CAR","DI",75.1,314.2,104.34,33.66,5.14,1.81,7.86,4.7,28.05,73.1,76.6,297,332,87,108,30.1,35.1,4.85,5.33,1.7,1.89,7.54,8.22,4.54,4.91,24,30.5,10
"51","CAR","ED",76.4,258.3,122.06,34.5,4.68,1.62,7.1,4.46,34.75,74.4,77.2,235,273,114,131,33.2,35.6,4.36,4.92,1.49,1.71,6.83,7.48,4.38,4.59,31,38.5,8
"52","CAR","G",75.4,315,104.52,33.4,5.23,1.83,7.86,4.77,28.66,74.6,76.8,310,344,102,107,32.4,34.1,4.93,5.45,1.78,1.9,7.57,8.16,4.65,4.87,22.5,32.5,6
"53","CAR","HB",70.9,205.1,119.9,30.26,4.49,1.56,6.82,4.27,36.26,69.2,72,196,220,116,122,29.6,32,4.47,4.53,1.51,1.64,6.57,7.37,4.18,4.63,30,37.5,6
"54","CAR","LB",74.1,239.9,118.02,32.15,4.61,1.62,7.01,4.17,35.1,71.6,76,222,260,110,128,30.5,34.6,4.49,4.74,1.57,1.69,6.92,7.5,4.08,4.5,32,38,9
"55","CAR","QB",73.6,224.1,123.75,31.96,4.61,1.61,6.95,4.2,34.84,70,77,204,248,112,126,30.5,33.8,4.56,4.84,1.6,1.68,6.92,7.09,4.18,4.28,34,35,4
"56","CAR","S",73.2,207.3,126.39,31.61,4.53,1.59,7.11,4.31,35.99,71.6,75,197,221,116,138,30.8,33.1,4.45,4.61,1.55,1.63,7.04,7.16,4.22,4.33,30,41,5
"57","CAR","T",76.8,312.9,109.02,33.83,5.05,1.77,7.77,4.72,29.65,76,78,302,327,95,124,32.2,35,4.89,5.5,1.71,1.97,7.33,8.18,4.46,5.15,26,34,6
