team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
DEN,TE,76.6,249.0,122.00,33.1,4.61,1.63,6.93,4.33,37.20
DET,TE,76.4,257.0,112.25,32.7,4.85,1.71,7.43,4.49,30.60
GB,TE,75.2,247.6,115.25,32.0,4.75,1.65,7.20,4.41,33.50
HOU,TE,76.9,256.7,116.71,33.3,4.78,1.68,7.24,4.43,32.50
IND,TE,76.3,255.0,118.67,33.2,4.71,1.64,7.10,4.39,34.92
JAX,TE,76.5,249.0,115.60,33.0,4.71,1.62,7.19,4.41,33.70
KC,TE,76.0,247.7,118.33,31.5,4.63,1.61,7.04,4.39,35.00
LA,TE,76.1,244.0,119.75,32.9,4.66,1.66,7.02,4.27,34.00
LAC,TE,76.9,245.0,119.50,33.2,4.68,1.61,7.16,4.41,33.50
LV,TE,76.2,251.6,117.40,33.1,4.69,1.66,7.18,4.40,33.10
MIA,TE,76.4,249.1,120.00,33.1,4.68,1.63,7.11,4.28,34.64
MIN,TE,76.3,252.8,114.25,32.6,4.75,1.69,7.13,4.30,34.06
NE,TE,76.3,257.4,114.50,32.5,4.81,1.72,7.09,4.35,31.63
NO,TE,77.0,255.0,114.00,32.6,4.80,NA,6.78,4.27,31.00
NYG,TE,76.3,249.5,125.50,33.2,4.56,1.58,7.03,4.36,35.63
NYJ,TE,76.7,258.6,116.25,33.6,4.78,1.67,7.28,4.40,32.75
PHI,TE,76.5,248.7,116.00,33.0,4.69,1.64,7.06,4.36,32.67
PIT,TE,76.5,251.2,113.67,32.9,4.81,1.72,7.37,4.48,32.88
SEA,TE,77.5,255.5,113.25,33.6,4.76,1.65,7.09,4.34,32.25
SF,TE,76.8,253.0,119.00,32.8,4.74,1.68,6.99,4.37,33.60
TB,TE,77.1,256.0,115.67,33.3,4.72,1.68,6.98,4.36,31.67
TEN,TE,75.8,248.3,121.00,32.8,4.56,1.61,7.35,4.34,36.83
WAS,TE,76.0,241.6,118.25,32.8,4.69,1.64,6.98,4.36,30.50
NFL Average,TE,76.5,251.8,117.73,33.0,4.71,1.65,7.13,4.37,33.54
ARI,WR,71.8,196.4,121.80,31.5,4.40,1.55,7.01,4.22,36.05
ATL,WR,72.2,198.9,120.86,32.1,4.46,1.56,6.88,4.26,36.07
BAL,WR,72.7,201.1,123.08,31.9,4.46,1.57,6.96,4.22,36.32
BUF,WR,72.1,197.6,122.77,31.4,4.46,1.57,6.91,4.24,35.08
CAR,WR,72.4,203.4,122.78,32.0,4.48,1.58,7.01,4.25,37.28
CHI,WR,72.5,198.5,120.20,31.3,4.48,1.56,6.97,4.31,34.30
CIN,WR,73.6,204.2,122.31,32.3,4.49,1.58,6.95,4.27,34.39
CLE,WR,72.8,203.8,124.08,32.0,4.48,1.56,7.03,4.32,36.54
DAL,WR,73.0,202.8,120.00,31.5,4.51,1.59,6.92,4.22,34.83
DEN,WR,72.5,200.2,123.73,31.6,4.47,1.58,7.00,4.30,36.13
DET,WR,72.5,195.5,123.00,31.8,4.51,1.56,6.97,4.30,35.56
GB,WR,73.7,205.1,124.73,32.1,4.47,1.58,6.88,4.22,35.94
HOU,WR,72.8,201.2,121.20,31.7,4.45,1.58,6.97,4.26,36.30
IND,WR,73.0,205.3,125.70,32.4,4.42,1.54,6.98,4.26,37.35
JAX,WR,72.8,202.8,122.67,31.8,4.49,1.57,6.94,4.18,36.56
KC,WR,71.8,200.8,126.00,31.7,4.44,1.57,6.84,4.18,36.96
LA,WR,72.9,198.7,120.39,31.9,4.50,1.59,6.86,4.16,34.42
LAC,WR,73.3,209.6,122.17,31.7,4.57,1.62,6.73,4.18,34.83
LV,WR,72.9,203.7,121.88,31.6,4.48,1.59,6.88,4.19,36.81
MIA,WR,71.7,198.1,121.36,31.7,4.52,1.60,7.09,4.28,35.36
MIN,WR,72.5,199.4,122.83,31.7,4.47,1.56,7.03,4.28,35.71
NE,WR,72.3,199.4,123.38,31.7,4.42,1.51,6.93,4.27,35.38
NO,WR,72.8,201.4,126.14,32.0,4.44,1.54,7.02,4.24,35.57
NYG,WR,71.5,195.5,125.38,31.5,4.46,1.55,6.94,4.20,37.38
NYJ,WR,72.3,198.4,123.60,31.9,4.45,1.58,6.83,4.24,36.20
PHI,WR,73.0,201.7,122.78,32.3,4.48,1.58,7.07,4.26,36.39
PIT,WR,72.7,203.8,123.08,32.3,4.48,1.55,7.00,4.20,35.83
SEA,WR,72.7,203.7,123.33,31.7,4.45,1.57,6.99,4.26,36.17
SF,WR,72.0,201.4,121.85,31.8,4.50,1.56,6.92,4.13,35.42
TB,WR,71.9,202.0,123.17,32.0,4.47,1.57,6.90,4.19,36.93
TEN,WR,73.5,209.2,123.33,32.2,4.49,1.56,7.00,4.27,35.45
WAS,WR,72.9,201.6,121.64,31.4,4.49,1.59,6.97,4.24,36.43
NFL Average,WR,72.6,201.4,122.85,31.8,4.47,1.57,6.95,4.24,35.94
